id,title,venue,date,source,capacity,on_sale,first_seen,sold_out_on,final
dice:7dwm3v,PATTERNS Weekly Live Jazz,Night Tales Loft,2026-09-23T18:00,dice,,,2026-09-23,,
jsonld:newriverstudios.com:2026-09-23T19:30:shameless-nights-presents-mike-ladd-thedeadcanrap-remi-rough,"Shameless Nights presents: Mike Ladd, THEDEADCANRAP, Remi Rough, Agate Max",New River Studios,2026-09-23T19:30,jsonld,,,2026-09-23,,
spektrix:alexandrapalace:944413ALSPDLBBHGQQDLTMRVCNLCGJCKH,Ally Pally x Shinny – Pay and Play Scrim,Alexandra Palace,2026-09-23T22:45,spektrix,40,2026-03-19,2026-09-23,,25
spektrix:arcolatheatre:391985ALSNBMJBBKLCGSHCVGSRBRRDVJD,The Turn of the Screw,Arcola Theatre,2026-09-23T19:30,spektrix,158,2026-02-17,2026-09-23,,48
spektrix:arcolatheatre:400580AHVDBBDVJRJNBRJRNTMNVGMCBRB,Fire Fire,Arcola Theatre,2026-09-23T19:00,spektrix,101,2026-06-18,2026-09-23,,72
spektrix:barbicancentre:3602801AKJGGMJNDNGVNRRDPCLDNLSQGN,LAH: 450 XL A Silent Movie (cert tbc),Barbican Arts Centre,2026-09-23T18:00,spektrix,,2026-06-25,2026-09-23,,
spektrix:barbicancentre:3603001ARJRJNKBQCVDLTNBCSRVHVGMJR,LAH: 450 XL A Silent Movie (cert tbc),Barbican Arts Centre,2026-09-23T20:00,spektrix,,2026-06-25,2026-09-23,,
spektrix:barbicancentre:3652401AQGHGRNDQGGPCBKNTRHNGCPMKR,Guildhall Jazz Ensembles,Barbican Arts Centre,2026-09-23T19:00,spektrix,,2026-08-04,2026-09-23,,
spektrix:barbicancentre:3734601AGRKCGQHVMVQGJTQLVDNBVHSLQ,Whisper of the Heart (4k Restoration (U) SUBTITLED,Barbican Arts Centre,2026-09-23T18:10,spektrix,156,2026-09-14,2026-09-23,,136
spektrix:bushtheatre:307739AQGRRDBRKSVGRRBMJNVJDGHNRRG,Darkling,Bush Theatre,2026-09-23T19:30,spektrix,,2026-06-12,2026-09-23,,
spektrix:bushtheatre:307934AJTDDLPJJNVQBNBJSCCQNDKPHKD,Darkling,Bush Theatre,2026-09-23T14:30,spektrix,,2026-06-12,2026-09-23,,
spektrix:donmarwarehouse:123012ALCJLGSVVDKNSLHHSCNJMCJQSGD,A MONTH IN THE COUNTRY,Donmar Warehouse,2026-09-23T19:30,spektrix,,2026-02-06,2026-09-23,,
spektrix:ica:1886403APNBMKHRRVNLSCLJNLVNHVKMDC,Chabrol: La Rupture,Institute of Contemporary Arts,2026-09-23T18:30,spektrix,45,2026-08-05,2026-09-23,,37
spektrix:ica:1896201AMTVRLMPCCTLBJRKHJLHTCVSQP,New Canons 2: Readings from Independent Publishers,Institute of Contemporary Arts,2026-09-23T18:30,spektrix,186,2026-08-11,2026-09-23,,58
spektrix:ica:1939001ALVSPRQCVPLVHQQGNMSNHDTCLD,Matador,Institute of Contemporary Arts,2026-09-23T12:10,spektrix,45,2026-08-24,2026-09-23,,45
spektrix:littleangeltheatre:542297ADGLPNNBPSLLLDHMBMGQRLKSVQC,Pip and Posy Live on Stage,Little Angel Theatre,2026-09-23T16:45,spektrix,100,2026-06-23,2026-09-23,,18
spektrix:littleangeltheatre:543297AMHQRHLTPDDTQSCSSVMQPLDJRKS,Pip and Posy Live on Stage,Little Angel Theatre,2026-09-23T10:30,spektrix,126,2026-06-23,2026-09-23,2026-09-23,0
spektrix:royalcourt:345172ABCBTJCRJJNJVBPTLBSSGBTBJCP,Man to Man,Royal Court Theatre,2026-09-23T19:30,spektrix,,2025-11-04,2026-09-23,,
spektrix:sohotheatre:1443004ARRHSGVNJSBSPJLMRNRVJLHTLC,Catherine Bohart: Borrowing Trouble,Soho Theatre,2026-09-23T19:15,spektrix,170,2025-11-14,2026-09-23,,28
spektrix:sohotheatre:1558212AVMVSJRMLNPBTTBRTHQDTDTRSC,Bigfoot Ripped My Dog In Half I Saw It,Soho Theatre,2026-09-23T19:00,spektrix,,2026-05-05,2026-09-23,,
spektrix:sohotheatre:1585810AJCNJNSTSHCNSJMRLMMMSJMKND,You’re So Special,Soho Theatre,2026-09-23T18:45,spektrix,92,2026-06-03,2026-09-23,2026-09-23,0
spektrix:sohotheatre:1589211ALBKVPMPSBDSMTMQBPQGSLMLLH,Crybabies: The Scaring,Soho Theatre,2026-09-23T21:00,spektrix,,2026-06-11,2026-09-23,,
spektrix:sohotheatre:1614805ABJBMGKBTLKBJLNSNHGBCPJVTH,"Pierre Novellie: Okay, One More Then Bedtime",Soho Theatre,2026-09-23T21:15,spektrix,170,2026-07-24,2026-09-23,,14
spektrix:sohotheatre:1621405AQHMQQKMLJTCJJBRKTKNLJLDGS,Freddie Meredith: Need a Light?,Soho Theatre,2026-09-23T20:45,spektrix,92,2026-08-19,2026-09-23,2026-09-23,0
spektrix:sohotheatre:1623003ARQRNGHKGLQQHPHPJJJJKPJGHP,Micky Flanagan: Warm Up Show,Soho Theatre,2026-09-23T19:30,spektrix,,2026-08-27,2026-09-23,,
spektrix:sohotheatre:1623403ALQSCQNVGJDMRNCNGGBKLQPTHD,Those People,Soho Theatre,2026-09-23T22:30,spektrix,92,2026-08-21,2026-09-23,,2
spektrix:southwarkplayhouse:126410AJHQQPJCRPVMNGGVKCDMSCDNHKG,Jane Eyre,Southwark Playhouse Borough,2026-09-23T19:00,spektrix,294,2026-03-10,2026-09-23,,188
spektrix:southwarkplayhouse:138402AJVDSVBDSTBGCJPBPVMQCVGTJLQ,Night City,Southwark Playhouse Borough,2026-09-23T19:30,spektrix,132,2026-04-14,2026-09-23,,118
spektrix:southwarkplayhouse:148004ALBDKGPJQRRHQKTNHTVRPSSBBJC,Twenty Thousand Streets Under the Sky,Southwark Playhouse Borough,2026-09-23T19:00,spektrix,226,2026-06-25,2026-09-23,,148
spektrix:southwarkplayhouse:158609APSKMMQRLLHLMBPNSBRNRPKLCBS,Twenty Thousand Streets Under the Sky Bundle,Southwark Playhouse Borough,2026-09-23T19:00,spektrix,50,2026-09-07,2026-09-23,,47
spektrix:southwarkplayhouse:159209ATSTRNGBKNDDLRLBBMSDTCPSGVQ,Twenty Thousand Streets Under the Sky Playtext,Southwark Playhouse Borough,2026-09-23T19:00,spektrix,50,2026-09-07,2026-09-23,,50
spektrix:southwarkplayhouse:160209AQVHCBCHGLBJMJLGCGLJKBNTCRP,Twenty Thousand Streets Under the Sky Programme,Southwark Playhouse Borough,2026-09-23T19:00,spektrix,50,2026-09-07,2026-09-23,,50
spektrix:stratfordeast:180610ADVGMDLPDDGPKSDCSGTSMMGCBLP,Bloodsport,Stratford East,2026-09-23T19:30,spektrix,,2026-03-07,2026-09-23,,
spektrix:stratfordeast:188004AGNGPGTRLRQGDHPQDSVKMQKSSLJ,SES Sep - Dec2026,Stratford East,2026-09-23T19:00,spektrix,50,2026-08-26,2026-09-23,,43
spektrix:tricycle:836252ACCSDLPKVCDHRLBMLJCTKGCKDDG,TABLE 17,Kiln Theatre,2026-09-23T19:30,spektrix,,2026-06-03,2026-09-23,,
spektrix:tricycle:890649ADRRSGTSNQCSRGDHSHLGPGDMHGD,Love and Basketball,Kiln Theatre,2026-09-23T19:00,spektrix,,2026-07-21,2026-09-23,,
